Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-medcom.fhir.dk.core.json	12096	-	0	0	0	0	0	0	0	524	0	0	0	0	0	0	0	0	0	0	164	205	0	0	1	17	0	0
fsh-generated/resources/CareTeam-fb1d34fe-6672-11ed-9022-0242ac120002.json	335	16	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	17	39	0	0	0	0	0	0
fsh-generated/resources/Encounter-6220b42d-c4fd-4c77-bae7-78e7d890dc8d.json	410	0	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	29	15	0	0	0	0	0	0
fsh-generated/resources/Media-cb277ee2-5d96-4762-829d-d36449b2b17f.json	27487	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	81	52	0	0	0	0	0	0
fsh-generated/resources/Organization-12ee0dde-a672-462f-820d-5efe832d73c9.json	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17	0	0	0	0	0	0
fsh-generated/resources/Organization-bca68510-fe3b-4161-aba0-908a693eb54f.json	318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0
fsh-generated/resources/Patient-382fb8a3-6725-41e2-a615-2b1cfcfe9931.json	711	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	20	34	0	0	0	0	0	0
fsh-generated/resources/Patient-5b72c625-0570-4111-b272-f0351344f8b6.json	787	14	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	16	15	0	0	0	0	0	0
fsh-generated/resources/Patient-733cef33-3626-422b-955d-d506aaa65fe1.json	381	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	14	0	0	0	0	0	0
fsh-generated/resources/Practitioner-e9eacb62-666b-11ed-9022-0242ac120002.json	346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	20	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-6057686e-666c-11ed-9022-0242ac120002.json	535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	15	0	0	0	0	0	0
fsh-generated/resources/PractitionerRole-6ff69f1c-690d-11ed-9022-0242ac120002.json	521	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	16	18	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-lpr3-Identifier.json	1654	50	0	0	0	0	0	300	0	283	0	0	0	0	0	0	0	0	0	0	61	1633	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-assigned-identifier.json	1989	50	0	0	0	0	0	288	0	220	0	0	0	0	0	0	0	0	0	0	68	593	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-careteam.json	1437	67	0	0	0	0	0	801	0	580	0	0	0	0	0	0	0	0	0	0	176	1288	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-contact-extension.json	2646	152	0	0	0	0	0	478	0	385	0	0	0	0	0	0	0	0	0	0	93	698	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-datetime-extension.json	1427	99	0	0	0	0	0	166	0	160	0	0	0	0	0	0	0	0	0	0	48	548	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-diagnosticreport.json	3674	166	0	0	0	0	0	1172	0	756	0	0	0	0	0	0	0	0	0	0	270	2300	0	0	0	14	0	0
fsh-generated/resources/StructureDefinition-medcom-core-ecpr-identifier.json	1526	57	0	0	0	0	0	245	0	249	0	0	0	0	0	0	0	0	0	0	109	688	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-encounter.json	3752	233	0	0	0	0	0	2407	0	1800	0	0	0	0	0	0	0	0	0	0	454	2833	0	0	0	3	0	0
fsh-generated/resources/StructureDefinition-medcom-core-identifier-extension.json	2046	124	0	0	0	0	0	229	0	217	0	0	0	0	0	0	0	0	0	0	34	234	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-media.json	3890	172	0	0	0	0	0	1198	0	1231	0	0	0	0	0	0	0	0	0	0	226	899	0	0	0	13	0	0
fsh-generated/resources/StructureDefinition-medcom-core-observation.json	6173	613	0	0	0	0	0	4497	0	4115	0	0	0	0	0	0	0	0	0	0	849	3550	0	0	0	16	11	0
fsh-generated/resources/StructureDefinition-medcom-core-organization.json	1593	50	0	0	0	0	0	1291	0	1081	0	0	2	0	0	0	0	0	0	0	235	1103	0	0	0	4	0	0
fsh-generated/resources/StructureDefinition-medcom-core-patient.json	5123	238	0	0	0	0	0	1812	0	1673	0	0	0	0	0	0	0	0	0	0	324	1814	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-medcom-core-practitioner-extension.json	1720	81	0	0	0	0	0	150	0	154	0	0	0	0	0	0	0	0	0	0	33	249	0	0	0	12	0	0
fsh-generated/resources/StructureDefinition-medcom-core-practitioner.json	1196	33	0	0	0	0	0	734	0	653	0	0	0	0	0	0	0	0	0	0	145	784	0	0	0	0	0	5
fsh-generated/resources/StructureDefinition-medcom-core-practitionerrole.json	2182	86	0	0	0	0	0	716	0	1197	0	0	0	0	0	0	0	0	0	0	138	758	0	0	0	5	0	0
fsh-generated/resources/StructureDefinition-medcom-core-sender-extension.json	1923	114	0	0	0	0	0	171	0	255	0	0	0	0	0	0	0	0	0	0	40	212	0	0	1	0	0	0
fsh-generated/resources/StructureDefinition-medcom-messaging-contactpoint.json	1267	66	0	0	0	0	0	213	0	317	0	0	0	0	0	0	0	0	0	0	44	380	0	0	0	0	0	0
