URL,Version,Status,OIDs,Name,Title,Descriptino,Uses,Used,Sources
http://hl7.dk/fhir/core/ValueSet/DkCoreProfessionGroupValueSet,3.4.0,active,,DkCoreProfessionGroupValueSet,DK Profession Group,"DK Profession Group codes","StructureDefinition/medcom-core-practitioner","hl7.fhir.dk.core"
http://hl7.dk/fhir/core/ValueSet/dk-core-MunicipalityCodes,3.4.0,active,,MunicipalityCodes,DK Municipality Codes,"Municipality codes used in Denmark","StructureDefinition/medcom-core-organization","hl7.fhir.dk.core"
http://hl7.dk/fhir/core/ValueSet/dk-core-TechniquesSCTCodes,3.4.0,active,,TechniquesSCTCodes,DK TechniquesSCTCodes,"SNOMED CT Codes for the technique used when obtaining an observation","StructureDefinition/medcom-core-observation","SCT"
http://hl7.dk/fhir/core/ValueSet/dk-marital-status,3.4.0,active,,,DK MaritalStatus,"This value set defines the set of codes that can be used to indicate the marital status of a person in Denmark.","StructureDefinition/medcom-core-patient","hl7.fhir.dk.core"
http://hl7.dk/fhir/core/ValueSet/extended-patient-contactrelationship,3.4.0,active,,extended-patient-contactrelationship,DK Extended Patient Contact Relationship,"DK Extended Patient Contact Relationship","StructureDefinition/medcom-core-patient",
http://hl7.dk/fhir/core/ValueSet/sor-organization-type,3.4.0,active,,SorOrganizationType,DK SOR Organization Type,"Value set used for indicating the organization type for organizations from SOR","StructureDefinition/medcom-core-organization","SCT"
http://hl7.org/fhir/ValueSet/address-type,4.0.1,active,"2.16.840.1.113883.4.642.3.69",AddressType,AddressType,"The type of an address (physical / postal).","StructureDefinition/medcom-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/address-use,4.0.1,active,"2.16.840.1.113883.4.642.3.67",AddressUse,AddressUse,"The use of an address.","StructureDefinition/medcom-core-patient","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/administrative-gender,4.0.1,active,"2.16.840.1.113883.4.642.3.1",AdministrativeGender,AdministrativeGender,"The gender of a person used for administrative purposes.","StructureDefinition/medcom-core-patient,StructureDefinition/medcom-core-practitioner","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/body-site,4.0.1,draft,"2.16.840.1.113883.4.642.3.141",SNOMEDCTBodyStructures,SNOMED CT Body Structures,"This value set includes all codes from [SNOMED CT](http://snomed.info/sct) where concept is-a 442083009 (Anatomical or acquired body site (body structure)).","StructureDefinition/medcom-core-media,StructureDefinition/medcom-core-observation","SCT"
http://hl7.org/fhir/ValueSet/c80-practice-codes,4.0.1,active,"2.16.840.1.113883.3.88.12.80.72",PracticeSettingCodeValueSet,Practice Setting Code Value Set,"This is the code representing the clinical specialty of the clinician or provider who interacted with, treated, or provided a service to/for the patient. The value set used for clinical specialty has been limited by HITSP to the value set reproduced from HITSP C80 Table 2-149 Clinical Specialty Value Set Definition.","StructureDefinition/medcom-core-practitionerrole","SCT"
http://hl7.org/fhir/ValueSet/care-team-category,4.0.1,draft,"2.16.840.1.113883.4.642.3.155",CareTeamCategory,Care Team category,"Indicates the type of care team.","StructureDefinition/medcom-core-careteam","LOINC"
http://hl7.org/fhir/ValueSet/care-team-status,4.0.1,draft,"2.16.840.1.113883.4.642.3.153",CareTeamStatus,CareTeamStatus,"Indicates the status of the care team.","StructureDefinition/medcom-core-careteam","hl7.fhir.r4.core"
http://hl7.org/fhir/ValueSet/clinical-findings,4.0.1,draft,"2.16.840.1.113883.4.642.3.232",SNOMEDCTClinicalFindings,SNOMED CT Clinical Findings,"This value set includes all the ""Clinical finding"" [SNOMED CT](http://snomed.info/sct) codes - concepts where concept is-a 404684003 (Clinical finding (finding)).","StructureDefinition/medcom-core-careteam,StructureDefinition/medcom-core-diagnosticreport","SCT"
