Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
\fsh-generated\resources\ImplementationGuide-medcom.fhir.dk.terminology.json	14640	-	0	0	0	0	0	0	10	80	0	0	0	0	0	0	0	1	0	0	225	269	0	0	1	9	0	3
fsh-generated/resources/CodeSystem-MedComDiagnosticReportCodes.json	584	33	1	0	0	1	0	0	1	8	0	0	0	0	0	0	0	0	0	0	35	2424	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-MedComProducentID.json	530	6	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	30	128	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medcom-acknowledgement-error-codes.json	1550	4	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	42	158	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medcom-careCommunication-categoryCodes.json	3624	6	0	0	0	0	0	0	1	13	0	0	0	0	0	0	0	0	0	0	56	111	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-medcom-core-PractitionerRolesAutorisationsregistret.json	2160	5	0	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	51	109	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medcom-core-PractitionerRolesSKSadministrativ.json	4117	5	0	0	0	0	0	0	1	12	0	0	0	0	0	0	0	0	0	0	80	108	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medcom-core-encounter-act-codes.json	583	3	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	28	81	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medcom-core-interpretation-codes.json	580	4	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	32	112	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medcom-message-definition-type.json	773	4	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	32	89	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medcom-messagedefinition-identifer-system.json	1099	3	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	34	92	0	0	0	1	0	1
fsh-generated/resources/CodeSystem-medcom-messaging-activityCodes.json	3373	5	1	0	0	0	0	0	1	7	0	0	0	0	0	0	0	0	0	0	64	92	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medcom-messaging-cancellation-reason.json	1350	4	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	35	101	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medcom-messaging-destinationUse.json	744	3	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	31	89	0	0	1	0	0	0
fsh-generated/resources/CodeSystem-medcom-messaging-eventCodes.json	987	4	0	0	0	0	0	0	1	6	0	0	0	0	0	0	0	0	0	0	36	101	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medcom-messaging-sorEdiSystem.json	792	5	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	35	92	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-medcom-messaging-statisticalCodes.json	2323	5	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	1	0	0	61	105	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-medcom-observation-resultGroup.json	2251	5	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0	0	0	49	95	0	0	0	0	0	0
